N,P,K,Temperature,Humidity,pH,Rainfall,Label,Disease_Prone,Common_Disease(Fungal),Common_Disease(Bacterial),Common_Disease(Viral),Salinity_dS_m,Water_Requirement,Disease_Resistance_Score,Nutrient_Deficiency
86,33,42,19.0,83.5,6.18,97.4,Peas,No,Fusarium Rots,Leaf Spot Wilt,None,3.03,262.5,9.7,None
59,34,32,36.7,80.1,6.11,180.4,Mustard,No,None,None,None,1.75,639.3,1.2,None
87,18,90,22.5,38.5,7.17,363.3,Alfalfa,Yes,None,None,None,3.47,691.2,3.4,Nitrogen
41,74,58,16.2,75.0,6.1,376.4,Alfalfa,No,Anthracnose,None,None,2.45,199.2,6.7,None
26,14,45,34.8,89.9,5.87,366.1,Sugarcane,Yes,None,None,None,0.55,400.7,5.7,Phosphorus
106,45,23,19.5,89.6,6.84,81.8,Brinjal,Yes,Rhizoctonia Rots,Bacterial Blight,Mosaic Virus,1.77,467.1,7.5,None
119,26,66,30.2,88.6,7.29,230.1,Barley,Yes,Downy Mildew,Blackleg,None,3.37,399.9,2.8,None
74,18,49,38.4,89.5,6.13,360.9,Oat,No,Rust,None,None,3.09,389.3,10.0,Potassium
65,68,11,31.2,76.3,6.89,143.9,Fennel,No,None,Leaf Spot Wilt,None,1.66,122.8,7.1,Nitrogen
78,50,15,21.8,78.1,7.01,384.1,Okra,No,Sclerotinia Rots,None,None,3.45,328.3,8.7,Potassium
77,71,11,30.0,38.2,5.74,165.7,Ragi,Yes,Fusarium Rots,None,None,0.52,291.8,1.9,Phosphorus
76,72,79,23.7,58.8,7.05,321.0,Turmeric,No,None,None,None,2.27,116.9,5.4,Phosphorus
92,48,68,27.8,44.8,7.36,397.3,Garlic,Yes,None,None,None,2.38,565.1,9.6,Potassium
66,50,47,23.5,56.6,7.04,215.8,Okra,Yes,None,Blackleg,None,0.75,731.4,5.4,None
86,49,66,22.4,42.5,6.69,271.7,Brinjal,No,None,None,African Cassava Mosaic Virus,3.1,690.4,7.6,Nitrogen
87,74,76,36.0,57.6,6.59,374.1,Soybean,Yes,Downy Mildew,Rot,None,0.98,321.6,5.4,Potassium
102,58,53,36.1,57.8,6.05,366.6,Castor,Yes,None,None,None,3.27,209.8,4.6,Potassium
72,11,35,17.5,66.9,5.87,310.9,Guar,Yes,None,None,Yellowing,2.93,395.2,9.0,None
117,43,27,37.6,69.1,7.25,372.4,Sunflower,Yes,Anthracnose,None,None,3.43,277.8,3.8,Nitrogen
59,68,59,32.3,46.1,6.31,379.4,Fennel,No,None,None,Brome Mosaic Virus,1.02,191.4,6.4,None
93,79,51,37.0,55.9,7.39,305.8,Garlic,Yes,None,None,None,0.55,291.2,2.3,Potassium
61,24,51,35.0,86.3,6.34,379.3,Brinjal,No,Rust,Aerial Stem Rot,None,1.09,184.1,4.6,None
89,42,89,28.2,88.5,5.99,230.6,Guar,Yes,Fusarium Rots,None,None,2.1,200.6,9.3,Potassium
53,45,22,26.9,36.7,5.64,280.8,Cotton,No,Rhizoctonia Rots,None,None,0.81,360.2,2.1,Nitrogen
101,59,59,21.3,37.1,6.34,81.4,Maize,Yes,Black Spot,None,None,2.26,650.0,3.0,Potassium
98,41,49,24.2,48.9,6.05,106.0,Fennel,Yes,Fusarium Rots,None,None,3.37,471.1,2.0,Potassium
48,55,69,20.7,70.3,5.89,127.9,Barley,No,None,None,None,3.31,727.8,9.9,Phosphorus
80,22,50,37.1,33.5,7.42,333.4,Alfalfa,No,None,Bacterial Crown Gall,None,1.56,394.6,9.3,None
96,32,77,18.8,47.4,6.28,63.4,Sunflower,No,None,None,None,2.99,257.4,1.6,Potassium
65,67,14,32.0,56.1,5.93,232.4,Beet,Yes,Blight,Wilt,Cauliflower Mosaic Virus,2.98,599.3,7.4,Nitrogen
112,36,66,21.9,61.4,6.96,194.4,Okra,Yes,Blight,None,None,1.02,522.2,5.8,Potassium
50,46,46,16.4,61.9,7.25,62.7,Cotton,Yes,Mildew,None,None,2.53,349.1,2.4,Potassium
104,55,71,25.4,46.6,6.87,363.9,Sunflower,Yes,None,None,None,3.48,346.6,7.1,Potassium
120,27,77,26.0,34.3,5.67,397.7,Soybean,No,Powdery Mildew,None,None,3.11,359.4,5.1,Potassium
25,46,75,32.5,85.9,7.15,162.3,Cotton,No,None,None,None,2.93,146.8,6.7,None
98,19,45,29.1,68.9,6.04,368.5,Alfalfa,Yes,None,None,None,3.34,424.0,9.4,Nitrogen
22,21,46,19.4,81.8,6.59,231.5,Maize,No,None,None,Cauliflower Mosaic Virus,3.04,588.5,4.4,Phosphorus
75,48,75,21.1,82.0,7.37,147.4,Cotton,Yes,Anthracnose,None,None,1.02,719.3,4.8,None
57,80,66,35.9,69.3,5.96,319.3,Bajra,No,None,None,None,2.58,718.6,7.4,None
74,33,66,25.3,68.2,5.92,318.2,Bitter Gourd,No,None,Citrus Cankers,None,2.13,662.7,7.0,Nitrogen
104,60,46,16.0,56.0,7.31,143.2,Alfalfa,Yes,Fusarium Rots,None,None,1.02,547.2,6.7,Potassium
63,10,42,18.1,83.1,7.32,188.3,Cumin,No,None,Stewart's Wilt,None,1.84,128.0,5.3,Potassium
85,34,57,21.1,82.7,7.47,352.3,Coriander,Yes,None,None,None,0.56,250.2,9.9,Phosphorus
79,12,54,17.3,38.8,6.09,344.4,Maize,Yes,None,None,None,1.38,530.6,3.0,None
45,36,25,36.4,35.7,7.41,198.2,Onion,No,Powdery Mildew,None,None,3.16,606.5,5.4,Phosphorus
46,43,46,22.2,42.9,7.28,206.6,Ragi,No,Botrytis Blight,None,None,1.25,330.5,2.7,Potassium
120,43,10,18.5,53.8,6.33,395.1,Beet,Yes,Sclerotinia Rots,Soft Rot,None,0.78,418.7,3.5,Phosphorus
39,26,48,26.9,57.4,7.41,204.0,Brinjal,Yes,Mildew,None,None,3.3,738.9,2.3,Phosphorus
80,23,22,37.7,80.0,6.38,142.7,Linseed,Yes,None,Canker,None,1.91,522.6,4.3,None
42,41,57,20.7,53.5,5.55,132.9,Cumin,Yes,Anthracnose,Leaf Spot Wilt,None,1.68,359.7,7.4,None
117,33,60,34.0,33.9,7.01,343.3,Linseed,No,Powdery Mildew,None,None,1.39,600.3,1.6,Potassium
66,20,82,26.7,48.5,5.69,112.5,Turmeric,No,None,None,Cauliflower Mosaic Virus,2.06,688.2,7.9,Potassium
24,29,87,18.1,79.1,6.55,133.2,Mustard,No,None,None,None,2.91,765.1,9.0,Phosphorus
72,37,27,33.1,59.7,6.58,154.0,Paddy,No,None,None,None,2.22,585.1,6.4,Potassium
40,49,80,30.5,33.3,7.17,386.4,Amaranth,No,None,None,None,3.04,450.1,9.1,None
50,51,47,26.0,42.8,7.1,392.1,Mustard,Yes,None,Bacterial Crown Gall,None,2.88,426.4,9.0,Phosphorus
78,54,43,21.1,57.2,5.68,284.9,Turmeric,Yes,None,None,None,1.65,105.4,7.3,Phosphorus
108,28,43,15.8,64.4,5.85,360.6,Ragi,Yes,None,None,None,2.82,192.5,6.7,Potassium
120,45,54,17.2,86.1,6.98,338.1,Turmeric,No,None,None,None,1.56,515.7,4.6,Potassium
31,59,55,31.1,72.7,7.23,64.0,Castor,Yes,None,None,None,2.0,314.7,4.7,Nitrogen
82,56,35,20.0,87.3,5.55,355.0,Jowar,Yes,Rust,None,None,2.72,703.4,3.9,Potassium
88,53,22,28.3,61.1,6.35,293.1,Chilly,No,Leaf Spot,Canker,None,1.51,227.3,6.5,None
43,13,77,24.2,38.1,7.26,244.7,Ragi,Yes,None,None,None,1.26,573.4,4.5,None
65,40,80,18.5,75.0,7.05,249.6,Wheat,Yes,Blight,None,None,3.31,273.8,3.1,Potassium
50,66,29,29.1,77.6,7.21,222.0,Wheat,Yes,None,None,None,1.73,633.2,5.5,Potassium
55,50,89,26.1,55.5,6.9,280.7,Wheat,Yes,Blight,None,None,0.68,637.1,7.4,Phosphorus
95,39,62,31.3,43.6,5.84,161.8,Paddy,Yes,None,None,None,1.28,466.6,2.2,Nitrogen
68,15,81,29.0,89.8,6.99,123.7,Bajra,Yes,None,Soft Rot,None,1.45,181.0,9.6,None
76,48,85,20.1,79.3,7.02,396.7,Jowar,Yes,None,None,None,2.48,637.7,9.7,None
49,79,89,19.5,73.9,6.36,256.8,Paddy,No,Blight,None,None,1.25,107.8,8.6,None
109,61,21,34.3,62.3,6.13,135.7,Onion,Yes,Mildew,None,None,2.36,685.8,5.9,Nitrogen
74,42,89,34.3,65.8,5.61,240.5,Barley,Yes,Sclerotinia Rots,None,None,2.15,432.7,8.2,Potassium
58,40,30,18.1,51.2,7.04,309.4,Paddy,No,None,None,None,3.23,443.6,9.7,None
96,42,46,21.5,66.8,5.76,215.3,Cauliflower,Yes,None,None,African Cassava Mosaic Virus,0.67,636.9,4.0,None
111,31,56,16.4,39.2,6.92,263.8,Castor,Yes,Sclerotinia Rots,Canker,None,1.46,335.0,4.6,Nitrogen
97,49,84,21.9,58.8,5.68,235.2,Jowar,No,None,None,Potato Virus Y,1.33,144.6,3.9,Nitrogen
104,15,14,16.9,77.3,5.61,94.2,Sunflower,Yes,None,None,Mosaic Virus,3.03,672.4,7.1,Potassium
24,60,52,27.9,64.1,6.05,58.4,Okra,Yes,Sclerotinia Rots,None,None,1.22,483.9,9.6,Potassium
106,51,68,24.2,80.7,6.39,196.0,Guar,No,None,None,None,0.52,643.7,5.1,Potassium
22,50,82,28.8,45.6,6.12,212.3,Onion,Yes,Sclerotinia Rots,None,None,3.08,692.9,3.3,Nitrogen
95,40,38,15.5,58.9,5.57,266.9,Barley,Yes,None,None,None,0.9,552.0,8.5,None
80,13,31,38.6,81.1,6.81,66.7,Bajra,Yes,None,None,None,1.84,204.4,3.4,Potassium
60,45,77,16.5,64.9,7.46,383.9,Soybean,No,Black Spot,None,None,1.84,310.6,7.4,Potassium
40,36,84,16.4,71.1,7.41,80.0,Bitter Gourd,Yes,None,None,None,2.99,397.8,7.4,Nitrogen
69,17,18,19.7,49.1,6.94,71.1,Ragi,No,None,Stewart's Wilt,None,1.15,548.7,7.0,Nitrogen
24,23,11,21.7,68.4,7.49,193.6,Okra,Yes,Rhizoctonia Rots,None,None,2.81,204.4,5.4,Nitrogen
21,29,76,17.8,31.8,6.8,242.7,Bitter Gourd,No,Rust,None,None,2.17,574.8,8.8,Nitrogen
82,40,57,22.4,80.4,6.36,119.2,Amaranth,Yes,None,None,None,2.56,365.4,4.4,Phosphorus
69,73,22,23.2,63.3,7.25,175.2,Beet,Yes,Powdery Mildew,None,None,2.82,574.3,9.6,Nitrogen
84,13,78,22.7,42.8,6.04,308.3,Soybean,Yes,None,Bacterial Crown Gall,None,2.97,551.2,3.6,Nitrogen
78,13,53,29.7,73.1,6.07,228.5,Soybean,No,None,Blackleg,None,3.18,236.1,5.4,Phosphorus
86,26,14,31.1,83.5,7.13,96.3,Peas,No,None,None,None,3.35,102.7,6.6,Phosphorus
40,35,85,35.0,36.6,6.77,147.2,Turmeric,No,None,None,None,3.21,594.3,9.2,None
33,41,40,38.3,64.2,6.6,308.7,Paddy,Yes,None,None,None,3.19,153.7,8.7,None
69,37,30,25.3,89.6,7.1,323.8,Amaranth,No,None,None,None,3.45,316.0,7.5,Nitrogen
99,59,65,18.9,41.3,7.1,298.4,Cauliflower,No,None,None,None,1.27,273.1,7.1,None
90,62,43,29.7,45.7,7.21,196.9,Bajra,Yes,Blight,None,None,2.03,295.8,8.5,Phosphorus
93,75,69,26.3,30.4,6.86,127.1,Cauliflower,Yes,None,None,None,1.4,720.4,7.8,None
72,43,60,24.8,49.1,7.27,112.2,Barley,Yes,Anthracnose,None,None,2.78,780.7,1.5,Phosphorus
109,41,43,30.3,79.9,6.51,334.1,Wheat,Yes,Downy Mildew,None,None,3.06,660.2,2.5,Phosphorus
41,42,88,22.8,52.4,5.62,205.1,Guar,Yes,None,Fire Blight,None,1.43,359.9,1.5,Nitrogen
56,80,72,19.5,54.7,6.94,330.1,Garlic,Yes,None,None,None,3.14,293.9,5.1,Potassium
120,11,56,37.8,77.9,7.17,381.9,Sunflower,Yes,None,None,None,1.33,721.3,5.6,Potassium
99,50,87,17.7,48.8,6.85,330.8,Garlic,Yes,Blight,None,None,1.86,450.3,4.1,Phosphorus
34,34,19,17.4,56.7,7.3,318.1,Onion,No,None,None,Tomato Spotted Wilt Virus,0.73,408.5,6.8,Nitrogen
25,44,85,36.6,87.3,6.35,280.2,Amaranth,No,Rhizoctonia Rots,None,None,2.02,177.1,6.6,Potassium
35,26,22,32.4,76.2,5.96,247.2,Turmeric,Yes,None,None,None,2.42,309.5,2.3,Phosphorus
83,26,68,24.5,73.0,6.26,174.3,Mustard,Yes,None,None,None,2.49,160.8,8.2,Phosphorus
89,13,12,39.2,39.5,7.08,210.2,Bitter Gourd,Yes,Mildew,None,None,2.38,198.5,2.2,Phosphorus
53,32,54,24.3,89.8,6.94,72.6,Turmeric,Yes,None,Scab,None,2.68,532.8,5.4,Nitrogen
33,44,53,20.6,48.5,7.34,154.4,Cumin,Yes,Black Spot,None,None,2.29,379.5,5.9,None
82,63,63,38.8,54.4,6.42,235.4,Peas,No,None,None,None,0.76,604.8,8.9,Nitrogen
108,72,88,29.6,66.7,6.05,278.2,Cabbage,No,Sclerotinia Rots,None,None,2.08,554.4,9.1,Phosphorus
85,39,47,36.7,44.4,5.84,96.7,Wheat,No,Mildew,None,None,2.3,447.6,9.0,Phosphorus
40,70,46,18.8,49.6,7.22,147.3,Onion,Yes,None,None,Potato Virus X,0.62,756.2,7.1,Potassium
39,79,55,31.5,87.9,7.45,282.6,Potato,Yes,None,None,None,1.78,154.4,8.8,None
115,56,25,17.3,35.0,7.27,298.8,Barley,Yes,Black Spot,None,None,3.11,654.7,2.1,Nitrogen
31,71,54,35.1,55.0,6.78,340.3,Tomato,No,None,None,None,2.81,459.9,2.5,None
56,56,20,33.1,84.3,5.71,60.6,Coriander,No,None,None,None,3.5,751.8,9.6,Phosphorus
76,72,38,25.1,32.0,7.24,180.7,Chilly,No,None,Leaf Spot Wilt,None,3.11,489.9,3.2,None
116,16,49,29.4,78.2,6.37,178.5,Jowar,Yes,None,None,None,3.2,257.5,2.0,Nitrogen
57,24,53,28.2,33.3,6.43,232.9,Bajra,Yes,Black Spot,None,None,2.01,119.8,8.3,Potassium
90,50,41,38.1,84.2,5.86,349.0,Cauliflower,Yes,None,None,None,1.71,636.0,9.1,Nitrogen
69,49,20,25.8,37.3,5.56,367.7,Maize,Yes,None,None,African Cassava Mosaic Virus,2.65,570.0,8.4,Potassium
94,19,22,39.4,78.5,6.89,122.1,Cauliflower,No,None,None,None,1.84,611.1,6.8,Potassium
119,28,42,32.9,34.7,7.18,357.1,Guar,Yes,None,None,None,0.9,656.7,9.3,Phosphorus
117,78,63,31.4,78.9,6.36,311.7,Guar,Yes,Black Spot,None,Potato Virus Y,3.44,389.9,5.6,Phosphorus
42,20,48,26.4,66.6,6.5,254.0,Coriander,No,None,None,None,3.41,553.1,3.6,Potassium
49,28,84,28.4,87.6,6.64,108.1,Barley,No,None,None,None,2.45,535.2,4.7,Potassium
105,33,24,38.8,49.3,7.16,224.1,Castor,No,Anthracnose,Bacterial Blight,None,1.38,791.3,9.9,None
44,57,18,23.7,57.4,6.99,141.8,Onion,Yes,None,Bacterial Crown Gall,None,1.38,580.8,4.4,Potassium
104,35,31,22.2,58.1,7.31,326.0,Brinjal,No,None,Bacterial Crown Gall,None,2.97,252.8,9.3,Nitrogen
88,17,44,33.6,82.3,5.8,161.5,Bajra,No,None,None,None,0.55,748.5,3.6,Nitrogen
119,39,86,21.2,38.7,6.62,213.6,Castor,Yes,None,None,None,2.29,657.2,1.1,Nitrogen
45,66,80,39.7,42.2,6.98,69.8,Bajra,No,Rhizoctonia Rots,Fire Blight,None,2.78,374.1,4.7,Potassium
29,58,57,28.1,77.4,6.39,384.2,Sunflower,Yes,Black Spot,None,None,1.36,358.2,2.9,Phosphorus
98,64,72,24.9,42.4,6.64,315.5,Tomato,Yes,None,None,None,1.97,710.3,3.9,Phosphorus
64,34,76,20.3,49.4,6.17,72.9,Castor,No,Fusarium Rots,Stewart's Wilt,None,2.29,519.0,3.0,None
31,60,52,18.4,65.0,7.0,289.2,Soybean,Yes,None,None,None,1.67,604.3,9.8,Potassium
95,79,63,32.8,50.9,5.6,261.2,Wheat,No,Blight,Wilt,None,2.32,688.3,7.1,None
116,31,49,19.5,85.9,6.48,295.9,Beet,Yes,Sclerotinia Rots,None,None,1.6,703.5,7.0,Potassium
31,78,66,30.3,32.4,6.72,380.3,Linseed,Yes,None,None,None,2.92,776.4,7.1,None
99,42,88,35.0,53.7,7.29,194.8,Peas,No,None,None,None,1.89,527.6,2.0,Phosphorus
119,25,62,20.8,69.0,7.28,283.1,Barley,No,None,None,None,1.83,410.7,1.6,Potassium
76,69,24,17.9,76.2,6.71,60.7,Brinjal,Yes,None,None,None,1.02,347.7,5.5,None
77,64,58,32.8,65.7,7.24,218.2,Barley,No,Sclerotinia Rots,None,None,0.88,489.8,4.8,Nitrogen
48,56,67,26.5,58.3,6.21,380.3,Oat,Yes,None,None,None,2.28,217.6,7.5,None
61,16,34,17.0,35.2,6.0,323.3,Alfalfa,No,None,None,None,2.93,460.9,5.2,Potassium
103,66,85,20.4,65.8,5.52,271.0,Maize,No,None,Bacterial Crown Gall,None,1.35,447.2,9.7,Nitrogen
104,47,88,28.0,46.7,6.13,255.3,Amaranth,No,None,None,None,0.63,185.8,2.9,None
85,40,24,23.2,34.8,6.76,284.3,Potato,No,None,None,None,2.55,747.5,2.5,Phosphorus
33,70,83,25.3,44.0,7.25,349.7,Linseed,No,Leaf Spot,None,None,1.77,307.6,9.4,Phosphorus
33,30,18,23.1,40.8,6.58,87.9,Ragi,Yes,Black Spot,None,None,1.93,207.3,3.6,Phosphorus
27,44,40,26.3,50.7,5.6,377.4,Garlic,No,Fusarium Rots,Citrus Cankers,None,0.78,765.4,5.5,Phosphorus
81,78,86,23.3,43.4,7.0,105.3,Cotton,Yes,None,None,None,1.99,104.9,1.2,Potassium
102,51,81,18.5,46.8,5.86,397.9,Okra,No,None,None,None,2.29,200.0,8.6,Phosphorus
98,64,55,20.1,32.1,7.21,369.4,Paddy,Yes,Rust,None,None,2.39,388.0,2.8,Phosphorus
22,63,16,21.6,76.7,7.06,350.8,Soybean,No,None,Tuber Soft Rot,None,2.56,343.6,6.5,Phosphorus
78,57,90,25.1,33.4,6.72,272.9,Cotton,Yes,None,None,None,0.96,269.9,8.3,Phosphorus
113,59,38,36.9,45.0,7.21,241.7,Ragi,No,Anthracnose,None,None,2.07,303.5,1.9,None
92,21,75,21.1,68.8,6.35,95.9,Paddy,Yes,Sclerotinia Rots,None,None,2.85,363.4,9.5,Phosphorus
47,19,42,22.3,82.3,6.33,284.2,Ragi,No,Downy Mildew,None,African Cassava Mosaic Virus,2.85,510.5,9.7,Phosphorus
24,41,57,33.5,72.2,7.34,273.9,Sugarcane,Yes,None,Aerial Stem Rot,None,2.67,645.4,8.9,Potassium
58,53,42,17.7,46.6,6.02,372.2,Soybean,No,None,None,None,1.15,766.1,4.2,Potassium
83,16,68,36.6,88.9,7.42,107.6,Soybean,No,None,None,None,3.16,733.1,9.2,Phosphorus
93,67,28,21.7,50.4,6.53,50.7,Sunflower,No,None,None,None,2.79,118.8,8.0,Nitrogen
78,77,49,15.4,85.7,7.08,341.0,Wheat,Yes,None,None,None,0.84,454.4,8.9,Potassium
107,63,45,23.2,34.1,7.11,393.2,Oat,Yes,None,None,Tomato Spotted Wilt Virus,1.86,648.4,1.9,None
92,72,53,20.3,75.2,6.48,387.2,Bajra,Yes,None,None,None,0.84,518.3,3.5,Phosphorus
38,14,53,31.9,83.1,6.3,57.7,Potato,Yes,None,None,Potato Virus,3.4,289.7,6.8,Nitrogen
57,75,20,29.0,54.5,7.14,72.0,Coriander,No,None,None,None,1.37,503.6,2.4,Nitrogen
61,10,20,17.4,74.8,5.92,326.3,Tomato,Yes,None,None,None,2.81,233.0,2.4,None
108,72,63,27.5,65.0,6.25,317.0,Coriander,No,Powdery Mildew,None,None,2.43,259.5,1.8,Nitrogen
107,74,56,37.1,69.8,7.45,131.3,Brinjal,Yes,None,Rot,None,1.17,644.5,3.0,Phosphorus
86,73,24,25.3,81.4,6.32,65.6,Garlic,No,None,None,None,1.49,729.2,7.9,Nitrogen
93,68,32,36.9,55.0,5.61,165.3,Jowar,No,None,Bacterial Blight,None,3.13,630.9,5.1,Phosphorus
62,74,20,16.0,67.7,6.05,371.1,Mustard,Yes,Rust,None,None,1.09,362.0,9.3,Potassium
91,21,88,19.6,53.6,5.9,307.3,Garlic,No,None,None,None,2.17,722.6,3.5,Nitrogen
98,69,72,31.8,87.0,6.45,349.7,Potato,No,Sclerotinia Rots,None,None,1.38,699.8,4.6,Potassium
59,68,89,23.0,41.9,5.58,314.0,Potato,Yes,Powdery Mildew,None,None,3.46,340.5,6.7,None
74,52,75,39.7,65.5,5.99,225.7,Cabbage,Yes,None,None,None,3.09,654.6,3.7,Potassium
89,46,39,17.4,46.3,5.71,62.5,Onion,No,Powdery Mildew,Bacterial Canker,None,2.37,491.0,9.7,None
64,49,61,36.2,68.4,6.79,104.8,Maize,No,None,None,Plum Pox Virus,2.54,552.1,6.4,None
88,27,74,24.8,82.3,6.85,60.8,Paddy,Yes,None,None,None,2.45,402.6,1.5,Phosphorus
73,50,13,31.6,69.0,6.83,377.9,Ragi,No,None,None,None,0.71,111.6,3.9,Phosphorus
117,24,51,23.5,82.7,7.19,354.4,Alfalfa,No,None,None,None,1.1,200.2,1.1,Potassium
116,37,87,21.4,78.5,6.05,283.1,Cotton,Yes,None,None,None,3.44,265.3,4.8,Phosphorus
91,26,23,25.5,50.5,7.24,210.2,Peas,Yes,Botrytis Blight,None,Potato Virus Y,3.33,233.4,8.0,Nitrogen
83,61,64,38.4,54.8,6.86,343.2,Paddy,No,None,None,None,0.91,285.9,9.2,Phosphorus
113,20,25,29.4,67.4,6.06,80.7,Cumin,Yes,Leaf Spot,Scab,None,2.45,115.6,1.3,Potassium
78,45,20,17.8,43.2,7.42,219.0,Cotton,No,Blight,None,None,3.02,171.2,1.4,None
88,57,63,22.5,80.8,7.02,55.9,Beet,Yes,None,None,Mosaic,2.96,116.6,8.9,None
74,22,67,25.4,81.3,6.99,215.2,Paddy,No,None,Blackleg,None,0.94,672.2,6.4,Potassium
89,28,57,23.7,32.7,5.52,350.9,Fennel,Yes,Downy Mildew,Bacterial Blight,None,0.96,162.4,4.8,Phosphorus
112,60,25,29.3,69.2,7.26,377.4,Onion,No,None,None,None,1.11,510.5,6.8,None
92,68,69,31.1,63.2,7.44,124.5,Cabbage,No,None,None,None,3.12,697.7,6.5,Potassium
24,34,64,36.7,33.4,7.01,141.7,Fennel,Yes,Rust,Canker,None,1.1,526.0,1.7,None
84,29,89,32.0,88.5,6.83,122.0,Mustard,Yes,Mildew,None,None,1.81,565.6,4.7,None
107,23,50,38.8,74.5,6.67,311.1,Okra,No,None,None,None,2.62,249.3,2.8,Potassium
96,43,88,31.4,38.7,6.95,235.7,Jowar,No,None,Stewart's Wilt,Yellowing,2.79,754.5,5.1,None
37,74,15,17.4,56.8,7.05,94.3,Tomato,Yes,None,None,None,0.96,146.8,4.2,Nitrogen
113,35,78,26.0,33.1,5.95,274.0,Cabbage,No,None,None,None,2.31,660.2,9.2,None
107,54,21,27.3,30.7,6.31,222.5,Maize,No,None,None,None,0.99,630.3,3.7,None
118,28,69,37.9,86.2,7.24,281.8,Tomato,Yes,None,None,None,2.86,597.4,7.5,Potassium
54,46,67,38.7,55.8,7.42,347.0,Fennel,No,None,None,None,0.83,109.8,5.5,Potassium
53,58,83,23.3,77.3,5.83,394.5,Cotton,No,Sclerotinia Rots,Fire Blight,None,1.16,246.7,6.5,Nitrogen
83,39,29,15.2,89.8,6.08,209.2,Alfalfa,Yes,None,None,None,2.77,413.9,1.0,Phosphorus
116,62,43,16.3,61.3,7.02,109.0,Mustard,No,None,None,None,2.24,435.1,5.7,None
69,13,20,23.6,63.7,7.34,53.7,Fennel,Yes,None,None,None,1.19,483.7,8.7,None
53,14,30,21.8,66.0,6.18,353.0,Cumin,No,None,Fire Blight,None,0.6,453.8,7.7,None
110,51,28,26.5,33.4,6.1,254.6,Sunflower,Yes,None,None,Mosaic,2.64,501.2,4.4,None
114,50,81,31.1,57.1,6.11,109.7,Tomato,No,None,None,None,1.54,250.2,3.1,Phosphorus
72,26,43,38.4,42.2,6.51,124.4,Barley,Yes,None,None,None,0.67,591.1,9.7,Phosphorus
20,34,46,26.5,64.8,7.02,368.2,Potato,No,None,None,None,1.46,143.9,8.9,Nitrogen
51,42,14,33.1,83.6,7.38,383.8,Alfalfa,Yes,Sclerotinia Rots,None,None,1.05,547.9,9.0,Potassium
68,78,13,17.8,53.3,6.33,313.5,Peas,Yes,None,None,Cucumber Mosaic Virus,2.28,408.4,8.3,Phosphorus
68,13,38,18.0,65.8,5.92,331.2,Fennel,Yes,Sclerotium Rots,None,None,2.04,328.5,4.2,Nitrogen
38,33,68,36.0,56.5,7.17,256.1,Soybean,No,None,Rot,None,2.07,413.2,6.1,None
26,73,86,21.7,80.7,6.54,302.4,Ragi,Yes,None,None,None,0.76,183.1,6.8,None
27,40,32,30.0,35.4,6.9,118.5,Beet,Yes,None,None,Potato Virus Y,0.51,381.7,5.9,Phosphorus
94,42,72,29.1,58.8,6.08,111.0,Soybean,Yes,Botrytis Blight,Scab,None,2.68,483.0,4.9,Nitrogen
45,74,36,28.8,46.0,6.86,246.4,Paddy,No,None,None,None,2.14,677.5,8.0,Phosphorus
35,37,58,37.7,68.0,5.6,161.9,Onion,No,None,Scab,None,2.11,661.9,2.7,None
26,47,14,26.2,55.0,6.34,324.1,Alfalfa,Yes,None,None,None,1.37,623.9,6.8,Nitrogen
108,11,17,15.6,74.1,6.16,310.3,Brinjal,Yes,None,Canker,None,2.72,522.2,9.0,None
119,28,79,21.0,73.7,7.06,370.6,Cumin,No,Botrytis Blight,None,None,1.51,659.4,5.6,None
107,43,45,23.4,30.7,6.33,110.0,Turmeric,No,Botrytis Blight,None,None,0.56,589.4,6.1,Nitrogen
48,46,17,16.7,32.9,7.11,302.5,Maize,Yes,None,None,None,1.95,187.8,2.8,None
69,45,46,20.9,88.2,6.57,75.1,Cabbage,Yes,None,None,None,3.4,360.4,2.9,Phosphorus
83,24,82,30.0,61.9,5.7,117.3,Oat,No,Blight,None,None,3.35,336.8,7.9,Phosphorus
112,19,25,21.3,87.5,5.92,379.9,Paddy,Yes,Powdery Mildew,None,None,3.45,391.9,3.8,Phosphorus
105,42,87,17.2,47.2,7.14,388.7,Cumin,No,None,None,None,2.7,477.8,2.6,None
31,53,80,29.9,66.9,7.08,102.7,Cumin,Yes,None,None,None,2.33,618.9,9.7,Potassium
116,46,35,19.2,57.9,7.31,184.6,Tomato,No,Downy Mildew,None,None,1.13,659.7,8.1,Nitrogen
65,62,49,23.6,50.3,5.78,106.4,Sugarcane,No,None,None,None,1.67,367.2,7.4,Potassium
78,66,38,24.4,31.3,6.06,108.6,Cauliflower,No,None,Fire Blight,None,2.98,633.5,4.8,Potassium
26,27,35,17.1,65.9,7.34,143.8,Beet,No,None,None,None,0.88,793.0,2.9,None
67,42,60,39.9,87.6,5.5,50.9,Linseed,No,Leaf Spot,None,None,1.13,149.5,5.1,Potassium
65,54,72,26.3,58.5,7.16,229.4,Onion,Yes,None,None,None,1.64,446.3,5.3,Potassium
51,49,73,15.2,40.4,6.1,386.9,Cabbage,No,Powdery Mildew,Fire Blight,None,1.66,460.6,2.3,Phosphorus
78,66,41,27.7,45.2,7.23,391.1,Castor,Yes,None,None,None,0.85,741.7,8.1,Potassium
